id,station_name,latitude,longitude,key,filename,title,rel_folder,date_start,date_end
kg_96607,Stasiun Meteorologi Aji Pangeran Tumenggung Pranoto,-0.48,117.16,/stations/stakg_96607,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96615,Stasiun Meteorologi Rahadi Oesman,-1.8,109.97,/stations/stakg_96615,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96633,Stasiun Meteorologi Sultan Aji Muhammad Sulaiman Sepinggan,-1.26,116.9,/stations/stakg_96633,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96635,Stasiun Geofisika Balikpapan,-1.2553,116.91463,/stations/stakg_96635,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2013-07-01,2013-07-01
kg_96645,Stasiun Meteorologi Iskandar,-2.73,111.66,/stations/stakg_96645,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96651,Stasiun Meteorologi H. Asan,-2.55,112.93,/stations/stakg_96651,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96653,Stasiun Meteorologi Sanggu,-1.67,114.9,/stations/stakg_96653,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96655,Stasiun Meteorologi Tjilik Riwut,-2.22,113.95,/stations/stakg_96655,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96685,Stasiun Meteorologi Syamsudin Noor,-3.442,114.754,/stations/stakg_96685,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96687,Stasiun Klimatologi Kalimantan Selatan,-3.46225,114.84,/stations/stakg_96687,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96695,Stasiun Meteorologi Gusti Syamsir Alam,-3.3,116.17,/stations/stakg_96695,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96733,Stasiun Klimatologi Banten,-6.26151,106.75084,/stations/stakg_96733,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96735,Stasiun Geofisika Tangerang,-6.1,106.38,/stations/stakg_96735,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96737,Stasiun Meteorologi Maritim Serang,-6.11185,106.11,/stations/stakg_96737,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96739,Stasiun Meteorologi Budiarto,-6.2867,106.56389,/stations/stakg_96739,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96741,Stasiun Meteorologi Maritim Tanjung Priok,-6.10781,106.88053,/stations/stakg_96741,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96745,Stasiun Meteorologi Kemayoran,-6.15559,106.84,/stations/stakg_96745,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96747,Halim Perdana Kusuma Jakarta,-6.27036,106.88926,/stations/stakg_96747,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2018-12-01
kg_96749,Stasiun Meteorologi Soekarno Hatta,-6.12,106.65,/stations/stakg_96749,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96751,Stasiun Meteorologi Citeko,-6.7,106.85,/stations/stakg_96751,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96753,Stasiun Klimatologi Jawa Barat,-6.5,106.75,/stations/stakg_96753,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96783,Stasiun Geofisika Bandung,-6.88356,107.59733,/stations/stakg_96783,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96791,Stasiun Meteorologi Kertajati,-6.7344,108.263,/stations/stakg_96791,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96793,Pos Meteorologi Penggung,-6.7553,108.53904,/stations/stakg_96793,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2016-01-01,2020-12-01
kg_96797,Stasiun Meteorologi Maritim Tegal,-6.86817,109.12103,/stations/stakg_96797,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96805,Stasiun Meteorologi Tunggul Wulung,-7.7189,109.0149,/stations/stakg_96805,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96807,Stasiun Geofisika Banjarnegara,-7.333,109.7069,/stations/stakg_96807,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2015-01-01,2020-12-01
kg_96835,Stasiun Klimatologi Jawa Tengah,-6.9847,110.3812,/stations/stakg_96835,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96837,Stasiun Meteorologi Maritim Tanjung Emas,-6.9486,110.4199,/stations/stakg_96837,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96839,Stasiun Meteorologi Ahmad Yani,-6.97683,110.3778,/stations/stakg_96839,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96851,Stasiun Klimatologi DI Yogyakarta,-7.731,110.354,/stations/stakg_96851,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2017-01-01,2020-12-01
kg_96855,Stasiun Geofisika Sleman,-7.82,110.3,/stations/stakg_96855,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96925,Stasiun Meteorologi Sangkapura,-5.8511,112.6578,/stations/stakg_96925,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96933,Stasiun Meteorologi Perak I,-7.2236,112.7239,/stations/stakg_96933,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96935,Stasiun Meteorologi Juanda,-7.3846,112.7833,/stations/stakg_96935,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96937,Stasiun Meteorologi Maritim Tanjung Perak,-7.2053,112.7353,/stations/stakg_96937,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96939,Stasiun Meteorologi Tuban,-6.8229,111.99177,/stations/stakg_96939,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2017-01-01,2020-12-01
kg_96943,Stasiun Klimatologi Jawa Timur,-7.9008,112.5979,/stations/stakg_96943,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96945,Stasiun Geofisika Pasuruan,-7.70456,112.63533,/stations/stakg_96945,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96949,Stasiun Geofisika Malang,-8.15,112.45,/stations/stakg_96949,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96973,Stasiun Meteorologi Trunojoyo,-7.03976,113.914,/stations/stakg_96973,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96975,Stasiun Geofisika Nganjuk,-7.73486,111.76682,/stations/stakg_96975,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_96987,Stasiun Meteorologi Banyuwangi,-8.215,114.3553,/stations/stakg_96987,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97008,Stasiun Meteorologi Naha,3.68594,125.52881,/stations/stakg_97008,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97010,Stasiun Geofisika Manado,1.4434,124.8389,/stations/stakg_97010,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97012,Stasiun Klimatologi Sulawesi Utara,1.54585,124.9233,/stations/stakg_97012,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97014,Stasiun Meteorologi Sam Ratulangi,1.54575,124.9234,/stations/stakg_97014,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97016,Stasiun Meteorologi Maritim Bitung,1.4431,125.1797,/stations/stakg_97016,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97028,Stasiun Meteorologi Sultan Bantilan,1.12114,120.79433,/stations/stakg_97028,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97048,Stasiun Meteorologi Djalaluddin,0.6385,122.8525,/stations/stakg_97048,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97052,Stasiun Klimatologi Gorontalo,0.556,123.14,/stations/stakg_97052,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2017-11-01,2020-12-01
kg_97072,Stasiun Meteorologi Mutiara Sis-Al Jufri,-0.91589,119.90554,/stations/stakg_97072,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97086,Stasiun Meteorologi Syukuran Aminudin Amir,-1.04064,122.771,/stations/stakg_97086,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97096,Stasiun Meteorologi Kasiguncu,-1.42038,120.65701,/stations/stakg_97096,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97120,Stasiun Meteorologi Majene,-3.55074,118.98054,/stations/stakg_97120,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97124,Stasiun Meteorologi Toraja,-3.04524,119.81885,/stations/stakg_97124,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97126,Stasiun Meteorologi Andi Jemma,-2.55472,120.32422,/stations/stakg_97126,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97142,Stasiun Meteorologi Sangia Ni Bandera,-4.18059,121.61077,/stations/stakg_97142,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97144,Stasiun Meteorologi Maritim Kendari,-3.9701,122.5895,/stations/stakg_97144,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97150,Stasiun Klimatologi Sulawesi Tenggara,-4.056,122.449,/stations/stakg_97150,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2017-01-01,2020-12-01
kg_97180,Stasiun Meteorologi Sultan Hasanuddin,-5.07,119.55,/stations/stakg_97180,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97182,Stasiun Meteorologi Maritim Paotere,-5.11375,119.41983,/stations/stakg_97182,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97184,Stasiun Klimatologi Sulawesi Selatan,-4.9308,119.572,/stations/stakg_97184,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97192,Stasiun Meteorologi Beto Ambari,-5.47,122.62,/stations/stakg_97192,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97230,Stasiun Meteorologi I Gusti Ngurah Rai ,-8.75,115.17,/stations/stakg_97230,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97232,Stasiun Geofisika Denpasar,-8.67689,115.21,/stations/stakg_97232,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97234,Pos Pengamatan Kahang-Kahang,-8.365,115.61083,/stations/stakg_97234,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97236,Stasiun Klimatologi Bali,-8.341,114.6176,/stations/stakg_97236,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97240,Stasiun Meteorologi Zainuddin Abdul Madjid,-8.75277,116.24982,/stations/stakg_97240,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97242,Stasiun Klimatologi Nusa Tenggara Barat,-8.63627,116.17094,/stations/stakg_97242,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97260,Stasiun Meteorologi Sultan Muhammad Kaharuddin,-8.48845,117.41336,/stations/stakg_97260,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97270,Stasiun Meteorologi Sultan Muhammad Salahuddin,-8.54279,118.6928,/stations/stakg_97270,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97282,Stasiun Meteorologi Komodo,-8.48673,119.88683,/stations/stakg_97282,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97284,Stasiun Meteorologi Frans Sales Lega,-8.63,120.45,/stations/stakg_97284,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97300,Stasiun Meteorologi Fransiskus Xaverius Seda,-8.63577,122.23752,/stations/stakg_97300,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97310,Stasiun Meteorologi Gewayantana,-8.2752,122.9986,/stations/stakg_97310,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97320,Stasiun Meteorologi Mali,-8.13471,124.59,/stations/stakg_97320,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97340,Stasiun Meteorologi Umbu Mehang Kunda,-9.66944,120.29972,/stations/stakg_97340,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97372,Stasiun Meteorologi Eltari,-10.1678,123.67039,/stations/stakg_97372,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97374,Stasiun Klimatologi Nusa Tenggara Timur,-10.13861,123.66722,/stations/stakg_97374,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97378,Stasiun Meteorologi David Constatijn Saudale,-10.76662,123.07395,/stations/stakg_97378,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97380,Stasiun Meteorologi Tardamu,-10.5,121.83,/stations/stakg_97380,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97406,Stasiun Meteorologi Gamar Malamo,1.84092,127.7905,/stations/stakg_97406,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97430,Stasiun Meteorologi Sultan Babullah,0.8333,127.38,/stations/stakg_97430,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97460,Stasiun Meteorologi Oesman Sadik,-0.63784,127.5,/stations/stakg_97460,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97502,Stasiun Meteorologi Domine Eduard Osok,-0.89118,131.28575,/stations/stakg_97502,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97530,Stasiun Meteorologi Rendani,-0.89227,134.05041,/stations/stakg_97530,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97560,Stasiun Meteorologi Frans Kaisiepo,-1.19069,136.10361,/stations/stakg_97560,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97570,Stasiun Meteorologi Sudjarwo Tjondro Negoro,-1.8754,136.23994,/stations/stakg_97570,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2010-01-01,2020-12-01
kg_97580,Stasiun Meteorologi Mararena,-1.85,138.75,/stations/stakg_97580,comp_kaggle_rainfall.h5,Kaggle,data\completeness,2011-01-01,2020-12-01
